time,location,population,number_of_reproducing_cells,average_affinity,number_of_cells_with_1_children,number_of_cells_with_2_children,number_of_cells_with_3_children,number_of_cells_with_4_children,number_of_cells_with_5_children,number_of_cells_with_6_children,number_of_cells_with_7_children,number_of_cells_with_8_children,number_of_cells_with_9_children,clone_id
76,germinal_center,1000,590,1.8010584666221098e+39,290,151,79,26,11,2,0,0,0,1
76,other,359,359,1.1074036649560435e+39,0,0,0,0,0,0,0,0,0,1
77,germinal_center,1000,578,1.7686943914845762e+39,304,162,67,30,9,1,0,0,0,1
77,other,364,364,1.1257905312252556e+39,0,0,0,0,0,0,0,0,0,1
78,germinal_center,1000,577,1.722692185528463e+39,283,187,71,22,6,2,0,0,0,1
78,other,370,370,1.1475793311173738e+39,0,0,0,0,0,0,0,0,0,1
79,germinal_center,1000,578,1.766751257128843e+39,296,167,70,33,4,0,0,1,0,1
79,other,377,377,1.1738219855967489e+39,0,0,0,0,0,0,0,0,0,1
80,germinal_center,1000,581,1.714286779488046e+39,296,179,68,25,6,2,0,0,0,1
80,other,382,382,1.1886486705795306e+39,0,0,0,0,0,0,0,0,0,1
81,germinal_center,1000,556,1.758590661912862e+39,276,166,76,22,14,1,0,0,0,1
81,other,383,383,1.1863878862619061e+39,0,0,0,0,0,0,0,0,0,1
82,germinal_center,1000,576,1.711738502275638e+39,289,181,62,28,9,1,0,0,0,1
82,other,389,389,1.2066171009421862e+39,0,0,0,0,0,0,0,0,0,1
83,germinal_center,1000,597,1.7533858040633895e+39,348,151,55,29,10,2,1,0,0,1
83,other,390,390,1.2114736628927825e+39,0,0,0,0,0,0,0,0,0,1
84,germinal_center,1000,594,1.722752963909564e+39,317,169,66,24,3,6,0,0,0,1
84,other,399,399,1.2386545208689859e+39,0,0,0,0,0,0,0,0,0,1
85,germinal_center,1000,563,1.802611542084288e+39,293,153,69,29,12,3,0,0,0,1
85,other,403,403,1.244949044137271e+39,0,0,0,0,0,0,0,0,0,1
86,germinal_center,1000,559,1.8188472967197895e+39,285,164,68,25,9,4,2,0,0,1
86,other,405,405,1.2511577769939995e+39,0,0,0,0,0,0,0,0,0,1
87,germinal_center,1000,606,1.7572152031120295e+39,324,171,86,19,0,0,0,0,0,1
87,other,411,411,1.2687839359308729e+39,0,0,0,0,0,0,0,0,0,1
88,germinal_center,1000,558,1.812430474619835e+39,273,167,82,26,6,1,1,0,0,1
88,other,413,413,1.2756802283716803e+39,0,0,0,0,0,0,0,0,0,1
89,germinal_center,1000,572,1.829608620017843e+39,278,178,73,26,5,3,0,0,0,1
89,other,422,422,1.2876204227749889e+39,0,0,0,0,0,0,0,0,0,1
90,germinal_center,1000,568,1.7695951215797916e+39,276,181,69,27,7,2,0,0,0,1
90,other,428,428,1.3048967880304593e+39,0,0,0,0,0,0,0,0,0,1
91,germinal_center,1000,568,1.78402951000181e+39,284,175,66,24,8,3,2,0,0,1
91,other,434,434,1.3195777828708564e+39,0,0,0,0,0,0,0,0,0,1
92,germinal_center,1000,565,1.7963829414143287e+39,277,182,64,29,9,1,0,0,0,1
92,other,437,437,1.3272480427335345e+39,0,0,0,0,0,0,0,0,0,1
93,germinal_center,1000,578,1.7478358732455185e+39,302,171,71,14,11,3,2,0,0,1
93,other,441,441,1.3369468658253157e+39,0,0,0,0,0,0,0,0,0,1
94,germinal_center,1000,580,1.789067728388802e+39,304,154,72,30,8,2,0,0,0,1
94,other,451,451,1.3531315801287045e+39,0,0,0,0,0,0,0,0,0,1
95,germinal_center,1000,575,1.7986653912075686e+39,300,157,81,19,8,2,1,1,0,1
95,other,457,457,1.3657031976627794e+39,0,0,0,0,0,0,0,0,0,1
96,germinal_center,1000,577,1.814530779504441e+39,289,178,76,20,7,2,0,0,0,1
96,other,462,462,1.3801010567834246e+39,0,0,0,0,0,0,0,0,0,1
97,germinal_center,1000,584,1.772142321644268e+39,305,173,68,26,7,1,0,0,0,1
97,other,466,466,1.385689022244016e+39,0,0,0,0,0,0,0,0,0,1
98,germinal_center,1000,563,1.807182358586778e+39,296,141,75,34,5,6,0,0,0,1
98,other,472,472,1.4013148062188882e+39,0,0,0,0,0,0,0,0,0,1
99,germinal_center,1000,591,1.8198913275692337e+39,318,162,67,23,8,3,1,0,0,1
99,other,481,481,1.4178864431258606e+39,0,0,0,0,0,0,0,0,0,1
100,germinal_center,1000,589,1.792126418107164e+39,302,182,77,17,7,0,0,0,0,1
100,other,485,485,1.428371085482171e+39,0,0,0,0,0,0,0,0,0,1
